Name,Act,[H][*:1],F[*:1],Cl[*:1],Br[*:1],I[*:1],C[*:1],[H][*:2],F[*:2],Cl[*:2],Br[*:2],I[*:2],C[*:2]
MOL0001,5.127261172527331,1,0,0,0,0,0,1,0,0,0,0,0
MOL0002,5.088309841246139,0,1,0,0,0,0,1,0,0,0,0,0
MOL0003,5.061480274823508,0,0,1,0,0,0,1,0,0,0,0,0
MOL0004,5.051098239029787,0,0,0,1,0,0,1,0,0,0,0,0
MOL0005,5.0338582672609675,0,0,0,0,1,0,1,0,0,0,0,0
MOL0006,5.031517051446065,0,0,0,0,0,1,1,0,0,0,0,0
MOL0007,5.123782159408358,1,0,0,0,0,0,0,1,0,0,0,0
MOL0008,5.088309841246139,1,0,0,0,0,0,0,0,1,0,0,0
MOL0009,5.080921907623926,1,0,0,0,0,0,0,0,0,1,0,0
MOL0010,5.075720713938118,1,0,0,0,0,0,0,0,0,0,1,0
MOL0011,5.0726296369609765,1,0,0,0,0,0,0,0,0,0,0,1
MOL0012,5.086716098239582,0,1,0,0,0,0,0,0,1,0,0,0
MOL0013,5.0670191780768015,0,1,0,0,0,0,0,0,0,1,0,0
MOL0014,5.054531414868181,0,1,0,0,0,0,0,0,0,0,0,1
MOL0015,5.051098239029787,0,0,1,0,0,0,0,0,1,0,0,0
MOL0016,5.049635145623877,0,0,1,0,0,0,0,0,0,1,0,0
MOL0017,5.047691990337874,0,0,1,0,0,0,0,0,0,0,0,1
MOL0018,5.045757490560675,0,0,0,1,0,0,0,0,1,0,0,0
MOL0019,5.029188389127483,0,0,0,1,0,0,0,0,0,1,0,0
MOL0020,5.035269078946371,0,0,0,1,0,0,0,0,0,0,0,1
MOL0021,5.031517051446065,0,0,0,0,0,1,0,0,0,0,0,1
MOL0022,5.021363051615526,0,0,0,0,0,1,0,0,0,1,0,0
